method,topology,regime,duplication,schedule,seed,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
bp_trw,tree,clean,1,repeating,0,0.3618965759397656,6.182812346380273e-16,1.0379245844971834,1.0,1.0,5.74135323863824e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
ec_exact,tree,clean,1,adversarial,0,0.3618965759397661,6.204026719547396e-16,1.0379245844971852,1.0,0.9999999999999998,6.869992988570303e-16,3.6736424324257593,3.6736424324257597,1.7763568394002505e-15
naive_sum,tree,clean,1,adversarial,0,0.2308562246785894,0.23458736048706305,26656.530071609617,0.015625,23213.331888791938,24104.242585039647,22.768367063385597,3.6736424324257597,7.69892056701876
mean_pool,tree,clean,1,adversarial,0,1.1144518730876054,0.7612767994640988,6.017371847765889,0.953125,0.21385202243165677,0.8055844311156009,0.7138958903364399,3.6736424324257597,0.11363235578686393
cov_int,tree,clean,1,adversarial,0,0.9995228205217916,0.6476110369780191,5.460295439218276,1.0,0.2248034483890549,0.8042928127529089,0.8185415700311285,3.6736424324257597,0.0072457379516159826
inv_cov_int,tree,clean,1,adversarial,0,1.1331369644878002,0.7934324090504572,5.782892751647038,0.75,0.2990186505604547,0.7171829031782047,1.2404126328371072,3.6736424324257597,0.4804216423853678
bp_backtrack,tree,clean,1,adversarial,0,0.23286703339421438,0.2927557638634466,24039.54549173377,0.0,33979.31473333724,34221.498996198105,24.014177832642545,3.6736424324257597,5.217277627752491
bp_cavity,tree,clean,1,adversarial,0,0.3618965759397652,6.853422142751216e-16,1.0379245844971807,1.0,1.0,5.270992349727644e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
bp_trw,tree,clean,1,adversarial,0,0.3618965759397652,6.853422142751216e-16,1.0379245844971807,1.0,1.0,5.270992349727644e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
ec_exact,tree,duplicate,4,sync,0,0.36189657593976543,4.536528111150274e-16,1.037924584497182,1.0,1.0,6.312115815492277e-16,3.6736424324257593,3.6736424324257597,3.1086244689504383e-15
naive_sum,tree,duplicate,4,sync,0,0.15357919075541676,0.3981078937339626,546818228607741.9,0.0,1843105182088857.5,1924966021366865.5,73.59697984215651,3.6736424324257597,3.495988229774582
mean_pool,tree,duplicate,4,sync,0,1.0553840954739226,0.7003321937838336,5.723090658986496,1.0,0.2201232498847046,0.7972931208455545,0.7700572624112353,3.6736424324257597,0.00950949165975612
cov_int,tree,duplicate,4,sync,0,0.9804992767174434,0.6288313378619218,5.302754935150918,1.0,0.2349747035777583,0.7901305870062814,0.9069714502325987,3.6736424324257597,1.4678258608569195e-12
inv_cov_int,tree,duplicate,4,sync,0,0.9594298097381276,0.6304793440767674,5.016874141182415,0.875,0.3145657844217184,0.7059616540239976,1.3836244837355265,3.6736424324257597,0.37234161203634075
bp_backtrack,tree,duplicate,4,sync,0,0.1605369304807714,0.39685352253237915,32847706964.034336,0.0,104141717210.08356,109195152968.37514,54.05786415295326,3.6736424324257597,4.180382664779451
bp_cavity,tree,duplicate,4,sync,0,0.13916392767062222,0.23508710943782882,-1.849901787270979,1.0,3.5564288053615574,2.6171825435746725,6.166638193953794,3.6736424324257597,1.7763568394002505e-15
bp_trw,tree,duplicate,4,sync,0,0.13916392767062222,0.23508710943782882,-1.849901787270979,1.0,3.5564288053615574,2.6171825435746725,6.166638193953794,3.6736424324257597,1.7763568394002505e-15
ec_exact,tree,duplicate,4,async,0,0.36189657593976565,3.395548419103067e-16,1.0379245844971834,1.0,0.9999999999999998,6.99987074298505e-16,3.6736424324257593,3.6736424324257597,2.220446049250313e-15
naive_sum,tree,duplicate,4,async,0,0.16955471578316716,0.360493652074636,31794924.773287196,0.0,94017693.3001928,100747834.93381761,39.31126408228887,3.6736424324257597,8.315606399431225
mean_pool,tree,duplicate,4,async,0,1.0657802448109455,0.7120756229015621,5.751864092968065,1.0,0.2228219853574444,0.7931168991988389,0.786218172409717,3.6736424324257597,0.03283507442101208
cov_int,tree,duplicate,4,async,0,0.9871259964850797,0.6356151145607402,5.3178869129331074,1.0,0.23547063949974473,0.7898552226721538,0.9102248193121721,3.6736424324257597,3.287167354948384e-05
inv_cov_int,tree,duplicate,4,async,0,0.9901019227444736,0.6402100398472592,5.644091530448109,0.8125,0.27167281009496574,0.7682922324229197,1.158327996846804,3.6736424324257597,0.3036195428801485
