seed,method,conf_two_distinct,conf_hundred_copies,mass_two_distinct,mass_hundred_copies,two_wins,two_wins_mass
9,inv_cov_int,0.833056721213602,0.7643345820938903,6.414627766917462,6.237680599647167,1,1
9,bp_backtrack,83.17908468251167,89.73327425977988,8.244512682288188e+18,3.43982705507176e+20,0,0
9,bp_cavity,65.64167018458224,72.13414282703543,1242271946730563.5,5.183084576121313e+16,0,0
9,bp_trw,18.935213186800354,25.317954951220052,84631.07779404699,3530867.7757693725,0,0
10,ec_exact,1.7101564802693794,0.9535618768049867,11.448212675646982,7.563163125992499,1,1
10,naive_sum,94.08061380907867,100.15100874101236,2.167715189177246e+21,1.0370169550857087e+23,0,0
10,mean_pool,1.113247694644718,0.9535618768049863,7.724106337823488,7.563163125992499,1,1
10,cov_int,1.1050404059530246,0.9535618768049875,7.705774338278396,7.5631631259925,1,1
10,inv_cov_int,1.2089329855582354,0.953561848735178,8.366477008725283,7.563163750356522,1,1
10,bp_backtrack,83.31698221917901,89.66045493108061,1.1449606086184944e+19,5.4773965231718715e+20,0,0
10,bp_cavity,65.81193771190378,72.06083587575895,1725211057354509.2,8.253266510795662e+16,0,0
10,bp_trw,19.155196005161194,25.243694641604353,117530.25562070758,5622362.52546058,0,0
11,ec_exact,1.7711242043676327,0.895254154992978,12.26568394011835,6.771422049504622,1,1
11,naive_sum,94.50072393645226,100.45897900485957,2.4056306400215113e+21,8.065899745283605e+22,0,0
11,mean_pool,1.1525121563836127,0.8952541549929801,8.132841970059179,6.771422049504629,1,1
11,cov_int,1.1826921799302634,0.8952541549929802,8.44182163390246,6.771422049504627,1,1
11,inv_cov_int,0.9024803114034068,0.8952540756043711,6.794862547555942,6.771422014225644,1,1
11,bp_backtrack,83.76878887871527,89.96842519492779,1.270624635312787e+19,4.260309438953951e+20,0,0
11,bp_cavity,66.25367842522286,72.36880613960614,1914559901963470.5,6.4193762619515176e+16,0,0
11,bp_trw,19.577541917032907,25.551637049571163,130429.23433877973,4373064.630880186,0,0
12,ec_exact,1.8465079479036826,1.2614616721943377,11.6923556559597,9.0927051035353,1,1
12,naive_sum,94.63125102133543,101.54217730574646,2.238770148239475e+21,1.4821722589943362e+23,0,0
12,mean_pool,1.1884588419470001,1.2614616721943372,7.8461778279798455,9.092705103535296,0,0
12,cov_int,1.2200488847254718,1.2614616721943395,8.132999598938147,9.0927051035353,0,0
12,inv_cov_int,0.9281218861323639,1.2614617420853238,6.6467793109456865,9.092706529592864,0,0
12,bp_backtrack,83.69801660436943,91.04814898011826,1.1824909675786723e+19,7.828652307315837e+20,0,0
12,bp_cavity,66.25589921384841,73.44959552635014,1781761291290248.5,1.1796106715899626e+17,0,0
12,bp_trw,19.695427414320747,26.634544990541734,121382.61746397908,8035845.454365833,0,0
13,ec_exact,1.9815680889642888,1.0583118847465094,12.254218754845889,7.633586731428947,1,1
13,naive_sum,95.02927047793888,100.90728050709222,2.402293831938262e+21,1.0575129218134536e+23,0,0
13,mean_pool,1.2761125703434995,1.0583118847465105,8.127109377422943,7.633586731428949,1,1
13,cov_int,1.3637939600049207,1.0583118847465105,8.472507748256987,7.63358673142895,1,1
13,inv_cov_int,1.0636857997769056,1.0583118614851907,7.647801610377993,7.6335871060084575,1,1
13,bp_backtrack,84.36376652300709,90.40860063467753,1.2688621741587972e+19,5.585653708691386e+20,0,0
13,bp_cavity,66.82335311280184,72.81147778882672,1911904249491120.5,8.416386964102518e+16,0,0
13,bp_trw,20.109884066741635,25.99929682455981,130248.32378295253,5733484.790823897,0,0
14,ec_exact,2.09210535087456,1.4418207517131587,12.641024762217661,9.313464839814568,1,1
14,naive_sum,95.16447146393578,103.07789399199166,2.5148691965202017e+21,1.546421798357791e+23,0,0
14,mean_pool,1.3536175467603728,1.4418207517131614,8.320512381108827,9.313464839814577,0,0
14,cov_int,1.437088554005812,1.44182075171316,8.96308851608465,9.313464839814571,0,0
14,inv_cov_int,1.0107483523485805,1.4418208374750754,7.327561945567623,9.31346602035961,0,0
14,bp_backtrack,84.53280302368921,92.5896498371197,1.3283231026934663e+19,8.168010503726133e+20,0,0
14,bp_cavity,66.97913538406836,74.98932385171318,2001499167094752.2,1.2307447026163526e+17,0,0
14,bp_trw,20.246952207804792,28.170706465250838,136351.78291840883,8384184.932930278,0,0
15,ec_exact,2.036474337030762,1.1297243472179166,13.168593921776477,7.507029466276446,1,1
15,naive_sum,94.68740254398745,101.06766014789564,2.668412030260217e+21,1.0206799099327902e+23,0,0
15,mean_pool,1.341247789055001,1.129724347217917,8.584296960888235,7.507029466276446,1,1
15,cov_int,1.3480284506186884,1.1297243472179177,8.670478360457189,7.507029466276448,1,1
15,inv_cov_int,1.7641601794491752,1.1297243154862566,11.228318678791013,7.507029560048428,1,1
15,bp_backtrack,83.75416812702144,90.58056882318897,1.409422546589831e+19,5.3911062519466525e+20,0,0
15,bp_cavity,66.31205073650045,72.97989040785998,2123698705054514.5,8.123245504885693e+16,0,0
15,bp_trw,19.751677989403305,26.16060899468672,144676.3609888822,5533788.539619861,0,0
16,ec_exact,1.3847291700277484,1.000098872147799,9.114575114951299,7.4840698832776456,1,1
16,naive_sum,93.25418121637549,96.53022861032692,1.4885372700377182e+21,1.0139977918232455e+23,0,0
16,mean_pool,0.8697994064982453,1.0000988721477992,6.557287557475646,7.484069883277646,0,0
16,cov_int,0.910320422374681,1.0000988721478006,6.779715315668128,7.48406988327765,0,0
16,inv_cov_int,1.1694469183181297,1.0000988383570997,8.018848897534978,7.484070256157676,1,1
16,bp_backtrack,82.32094679940951,86.04097463768584,7.862271515939182e+18,5.355812122645152e+20,0,0
16,bp_cavity,64.87882940888852,68.44095759390984,1184676368175500.8,8.07006479135519e+16,0,0
16,bp_trw,18.31872735322487,21.721210816238802,80707.5041193775,5497560.333767405,0,0
17,ec_exact,2.6704334461511503,1.8070452054260513,16.14928668303094,11.49659639880625,1,1
17,naive_sum,96.23572513587033,100.86973943834373,3.535907797931854e+21,2.1817967059341753e+23,0,0
17,mean_pool,1.7717779417555328,1.8070452054260504,10.074643341515475,11.49659639880625,0,0
17,cov_int,1.8634414092602172,1.8070452054260513,10.678124751542134,11.496596398806254,1,0
17,inv_cov_int,1.2241913041765737,1.8070454279518908,8.7619524705396,11.496598754891268,0,0
17,bp_backtrack,85.43958006467773,90.3814952834719,1.86762318433333e+19,1.1523982932722626e+21,0,0
17,bp_cavity,67.945893399249,72.78116929806518,2814109187975650.0,1.736418059332748e+17,0,0
17,bp_trw,21.30789811905225,25.963199599090373,191709.0753649599,11828974.82855986,0,0
18,ec_exact,2.232408875691424,0.9826583845157987,12.994216246738292,6.847796379060819,1,1
18,naive_sum,95.53803075941049,101.36415578942463,2.6176614473627106e+21,8.288178299148624e+22,0,0
18,mean_pool,1.4395987688442702,0.9826583845157991,8.497108123369149,6.84779637906082,1,1
18,cov_int,1.5217297973820272,0.9826583845157997,9.027989385930619,6.847796379060821,1,1
18,inv_cov_int,1.638332951558777,0.9826583112141614,10.150816220196122,6.847796256601348,1,1
18,bp_backtrack,84.60479634244444,90.86794974502283,1.382616710393182e+19,4.3777142482143085e+20,0,0
18,bp_cavity,67.16267895192344,73.27006548658639,2083308036013164.8,6.5962802301735864e+16,0,0
18,bp_trw,20.602110092293742,26.45635373248829,141924.83440075314,4493576.616361346,0,0
19,ec_exact,2.014255314464643,0.9770978914668857,11.762790726035206,7.56491852386484,1,1
19,naive_sum,95.20255361926256,99.73660172872545,2.259269451616334e+21,1.037527843106317e+23,0,0
19,mean_pool,1.2779147522770993,0.9770978914668861,7.881395363017604,7.56491852386484,1,1
19,cov_int,1.289497102763904,0.9770978914668873,7.922103895672668,7.5649185238648435,1,1
19,inv_cov_int,1.2598429690817792,0.9770978638298365,8.335491668970427,7.564919078618466,1,1
19,bp_backtrack,84.26931920229656,89.2483575738535,1.1933184485078122e+19,5.480094971113428e+20,0,0
19,bp_cavity,66.82720181177555,71.64803158844691,1798075992146889.0,8.257332495416811e+16,0,0
19,bp_trw,20.26664485925637,24.829583306465636,122494.02101954928,5625132.389158696,0,0
