seed,method,multiplier,arm,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
1,ec_exact,4,replacement,0.2415368255221838,7.022943816412415e-16,0.2773248993274132,1.0,1.0000000000000004,1.1523901833947013e-15,6.496503540054629,6.496503540054627,3.552713678800501e-15
1,naive_sum,4,duplicate,0.4267997342329553,0.28809047695339984,2.615514929749485e+21,0.0,1.0415273238753119e+21,1.0606001818672478e+21,101.05192913767237,4.314616425060151,2.578587867674287e-07
1,naive_sum,4,replacement,0.21718357233197533,0.06405780976520695,7.727460488416001e+20,0.0,2.7992762241639475e+20,2.8030583820548542e+20,100.65577308629184,6.496503540054627,4.0341006979360827e-07
1,mean_pool,4,duplicate,0.9734692053185833,0.8370225463027814,5.427940772401975,1.0,0.17989027111194106,0.8351279007961047,1.032943232324573,4.314616425060151,2.7040109262799206e-08
1,mean_pool,4,replacement,1.0249428928041597,0.8979099390261571,5.826009812290982,1.0,0.058214012905063076,0.9430584529101655,0.8394445844595566,6.496503540054627,2.248157215944957e-08
1,cov_int,4,duplicate,0.9281307664479149,0.80142269528219,5.00382241029351,1.0,0.20722506615385486,0.8036168578966787,1.2610850610017423,4.314616425060151,2.886579864025407e-15
1,cov_int,4,replacement,0.8697550043969329,0.7482975582292232,4.9794648480677495,1.0,0.06578563513944999,0.9349794562129974,1.069166163497275,6.496503540054627,3.552713678800501e-15
1,inv_cov_int,4,duplicate,0.92097454119327,0.7206998587832502,5.533041495633481,0.75,0.26964033410593774,0.7460300073002042,1.7417466356456894,4.314616425060151,3.2566471741546366e-09
1,inv_cov_int,4,replacement,1.2321793299654136,1.054649234782413,7.9603762481194895,0.75,0.08000915909098985,0.9203553812382883,1.4318059890371129,6.496503540054627,5.652154300150869e-10
1,bp_backtrack,4,duplicate,0.47274178306875914,0.35418227004768127,1.7032809139718517e+19,0.0,5.50121973860267e+18,5.624354155375737e+18,90.54785343454736,4.314616425060151,0.30286734884083444
